"ID","Minutes","Total Rebounds","Assists","Steals","Blocks","Points","Player ID","First Name","Last Name","Position","Height","Weight","Draft Year","Draft Round","Draft Number","Team ID","Team Conference","Team Division","Team City","Team Name","Team Full Name","Team Abbreviation","Game ID","Game Date","Game Season","Game Status","Game Period","Game Time","Game Postseason","Home Team Score","Visitor Team Score","Home Team ID","Visitor Team ID"
"13932867","30","12","2","2","0","12","375","Michael","Porter Jr.","F","6-10","218","2018","1","14","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932868","35","7","5","2","1","15","177","Aaron","Gordon","F","6-8","235","2014","1","4","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932869","36","13","11","1","1","29","246","Nikola","Jokic","C","6-11","284","2014","2","41","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932870","36","2","1","3","1","20","81","Kentavious","Caldwell-Pope","G","6-5","204","2013","1","8","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932871","34","2","6","0","1","21","335","Jamal","Murray","G","6-4","215","2016","1","7","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932872","19","3","2","0","1","5","38017709","Christian","Braun","G","6-6","220","2022","1","21","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932873","01","0","0","0","0","0","38017727","Collin","Gillespie","G","6-1","195","0","0","0","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932874","00","0","0","0","0","0","215","Justin","Holiday","F-G","6-6","180","0","0","0","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932875","24","3","1","1","0","8","236","Reggie","Jackson","G","6-2","208","2011","1","24","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932876","00","0","0","0","0","0","250","DeAndre","Jordan","C","6-11","265","2008","2","35","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932877","01","0","0","0","0","0","17896007","Braxton","Key","G","6-8","225","0","0","0","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932878","12","0","1","0","0","4","3547268","Zeke","Nnaji","F-C","6-9","240","2020","1","22","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932879","01","0","0","0","0","2","56677582","Jalen","Pickett","G","6-2","202","2023","2","32","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932880","00","0","0","0","0","0","56677776","Julian","Strawther","G","6-6","205","2023","1","29","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932881","11","0","0","0","1","3","38017721","Peyton","Watson","G","6-7","200","2022","1","30","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932882","00","0","0","0","0","0","666489","Vlatko","Cancar","F","6-8","236","2017","2","49","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932883","00","0","0","0","0","0","17896103","Jay","Huff","F-C","7-1","240","0","0","0","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932884","00","0","0","0","0","0","56677871","Hunter","Tyson","F","6-8","215","2023","2","37","8","West","Northwest","Denver","Nuggets","Denver Nuggets","DEN","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932885","30","3","1","0","1","18","383","Taurean","Prince","F","6-6","218","2016","1","12","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932886","29","8","5","1","0","21","237","LeBron","James","F","6-9","250","2003","1","1","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932887","34","8","4","0","2","17","117","Anthony","Davis","F-C","6-10","253","2012","1","1","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932888","31","8","4","2","0","14","17553995","Austin","Reaves","G","6-5","197","0","0","0","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932889","36","4","7","1","0","11","405","D'Angelo","Russell","G","6-3","193","2015","1","2","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932890","01","0","0","0","0","0","38017697","Max","Christie","G","6-5","190","2022","2","35","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932891","15","3","0","0","0","6","666609","Rui","Hachimura","F","6-8","230","2019","1","9","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932892","07","1","0","0","0","0","666626","Jaxson","Hayes","C","7-0","220","2019","1","8","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932893","01","0","0","0","0","0","56677836","Maxwell","Lewis","F","6-7","195","2023","2","40","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932894","18","4","0","0","1","7","666860","Cameron","Reddish","F-G","6-7","217","2019","1","10","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932895","22","1","2","1","0","6","1603383","Gabe","Vincent","G","6-2","200","0","0","0","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932896","16","4","0","0","0","7","486","Christian","Wood","F","6-8","214","0","0","0","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
"13932897","00","0","0","0","0","0","56677738","Colin","Castleton","C","6-10","250","0","0","0","14","West","Pacific","Los Angeles","Lakers","Los Angeles Lakers","LAL","1037593","2023-10-24","2023","Final","4","Final","false","119","107","8","14"
